time	I(L1)
0.000000000000000e+000	6.000006e-004
9.765625114122045e-011	6.906300e-005
1.044309676727874e-010	5.299878e-005
1.179804007359213e-010	5.964626e-005
1.450792668621890e-010	7.254032e-005
1.992769991147245e-010	9.678444e-005
3.076724636197955e-010	1.397915e-004
5.244633926299376e-010	2.097679e-004
8.602233916105635e-010	3.059885e-004
1.048761583351692e-009	3.783882e-004
1.248786628094732e-009	4.825090e-004
1.000000000000000e-008	5.430102e-003
4.065280928517542e-005	2.259805e+001
8.129561857035084e-005	4.453543e+001
1.219384278555263e-004	6.581756e+001
1.625812371407017e-004	8.644445e+001
2.032240464258771e-004	1.064161e+002
2.438668557110525e-004	1.257325e+002
2.845096649962279e-004	1.443937e+002
3.877462721390852e-004	1.886946e+002
4.909828792819425e-004	2.297002e+002
5.942194864247996e-004	2.674103e+002
6.974560935676569e-004	3.018251e+002
8.006927007105142e-004	3.329444e+002
9.039293078533714e-004	3.607684e+002
1.007165914996229e-003	3.852969e+002
1.155045379281943e-003	4.154220e+002
1.302924843567657e-003	4.414316e+002
1.450804307853371e-003	4.633258e+002
1.598683772139085e-003	4.811045e+002
1.746563236424799e-003	4.947677e+002
1.894442700710514e-003	5.043155e+002
2.042322164996227e-003	5.097478e+002
2.123237343567654e-003	5.118596e+002
2.204152522139081e-003	5.132604e+002
2.285067700710508e-003	5.139503e+002
2.365982879281935e-003	5.139292e+002
2.446898057853362e-003	5.131972e+002
2.527813236424788e-003	5.117541e+002
2.608728414996215e-003	5.096002e+002
2.618494039996215e-003	5.093139e+002
2.820781986424782e-003	5.005649e+002
3.023069932853349e-003	4.899670e+002
3.225357879281917e-003	4.775202e+002
3.427645825710484e-003	4.632246e+002
3.629933772139051e-003	4.470801e+002
3.832221718567618e-003	4.290867e+002
4.034509664996185e-003	4.092444e+002
4.249353414996181e-003	3.879979e+002
4.464197164996176e-003	3.668618e+002
4.679040914996172e-003	3.458362e+002
4.893884664996167e-003	3.249212e+002
5.108728414996162e-003	3.041167e+002
5.323572164996158e-003	2.834226e+002
5.538415914996153e-003	2.628391e+002
5.548181539996153e-003	2.619374e+002
5.740703861424720e-003	2.443558e+002
5.933226182853288e-003	2.274292e+002
6.125748504281855e-003	2.111576e+002
6.318270825710423e-003	1.955409e+002
6.510793147138990e-003	1.805792e+002
6.703315468567558e-003	1.662724e+002
6.895837789996124e-003	1.526206e+002
7.035346718567550e-003	1.432252e+002
7.174855647138975e-003	1.341955e+002
7.314364575710402e-003	1.255316e+002
7.453873504281827e-003	1.172333e+002
7.593382432853253e-003	1.093008e+002
7.732891361424678e-003	1.017340e+002
7.872400289996103e-003	9.453295e+001
7.957500736424672e-003	9.030874e+001
8.042601182853243e-003	8.620719e+001
8.127701629281812e-003	8.222831e+001
8.212802075710382e-003	7.837209e+001
8.297902522138951e-003	7.463853e+001
8.383002968567522e-003	7.102763e+001
8.468103414996091e-003	6.753940e+001
8.477869039996091e-003	6.714599e+001
8.508561004281804e-003	6.591970e+001
8.539252968567519e-003	6.470807e+001
8.569944932853232e-003	6.351110e+001
8.600636897138945e-003	6.232879e+001
8.631328861424658e-003	6.116115e+001
8.662020825710373e-003	6.000818e+001
8.692712789996086e-003	5.886986e+001
8.702478414996086e-003	5.851059e+001
8.722009664996085e-003	5.779639e+001
8.751306539996085e-003	5.673586e+001
8.823851182853226e-003	5.416843e+001
8.896395825710368e-003	5.167492e+001
8.968940468567509e-003	4.925533e+001
9.041485111424649e-003	4.690967e+001
9.114029754281791e-003	4.463793e+001
9.186574397138932e-003	4.244012e+001
9.259119039996074e-003	4.031623e+001
9.288415914996073e-003	3.947694e+001
9.317712789996073e-003	3.864859e+001
9.347009664996072e-003	3.783115e+001
9.376306539996071e-003	3.702463e+001
9.405603414996071e-003	3.622904e+001
9.434900289996070e-003	3.544437e+001
9.464197164996070e-003	3.467062e+001
9.540737569996630e-003	3.270244e+001
9.617277974997193e-003	3.080081e+001
9.693818379997754e-003	2.896572e+001
9.770358784998316e-003	2.719719e+001
9.846899189998877e-003	2.549521e+001
9.923439594999440e-003	2.385978e+001
9.999980000000000e-003	2.229090e+001
9.999990000000000e-003	2.229070e+001
1.000000000000000e-002	2.229050e+001
